,PTsub_W_01,PTsub_W_02,PTsub_W_03,PTsub_W_04,PTsub_W_05,PTsub_W_06,PTsub_W_07,PTsub_W_08,PTsub_W_09,PTsub_W_10,PTsub_W_11,PTsub_W_12,PTsub_W_13,PTsub_W_14,PTsub_W_15,PTsub_W_16,PTsub_W_17,PTsub_W_18,PTsub_W_19,PTsub_W_20,PTsub_W_21,PTsub_W_22,PTsub_W_23,PTsub_W_24,PTsub_W_25,PTsub_W_26,PTsub_W_27,PTsub_W_28,PTsub_W_29,PTsub_W_30,PTsub_W_31,PTsub_W_32,PTsub_W_33,PTsub_W_34,PTsub_Y_01,PTsub_Y_02,PTsub_Y_03,PTsub_Y_04,PTsub_Y_05,PTsub_Y_06,PTsub_Y_07,PTsub_Y_08,PTsub_Y_09,PTsub_Y_10,PTsub_Y_11,PTsub_Y_12,PTsub_Y_13,PTsub_Y_14,PTsub_Y_15,PTsub_Y_16,PTsub_Y_17,PTsub_R_01,PTsub_R_02,PTsub_R_03,PTsub_R_04,PTsub_R_05,PTsub_H_01,PTsub_H_02,PTsub_H_03,PTsub_H_04,PTsub_H_05,PTsub_S_01,PTsub_S_02,PTsub_S_03,PTsub_S_04,PTsub_S_05
PpaF_C15prenylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mb7F_C5prenylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mb7F_C10prenylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mb7F_C15prenylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OcyF_C5prenylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OcyF_C10prenylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OcyF_C15prenylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FjoF_C5prenylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FjoF_C10prenylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FjoF_C15prenylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fl3F_C5prenylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fl3F_C10prenylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fl3F_C15prenylation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
